,text,hashtags
14,"New features inside the COVID-19 Dashboard app;
https://t.co/fEAMR576k5

#WirVsVirus #WirVsVirusHack #WirvsCorona 

#neomjs #javascript #javascript30 #100daysofcode #301daysofcode #webdev #webdevelopment #frontend #html #html5 #webworker #CoronaOutbreak #COVID19 #COVID_19 https://t.co/vWS14yhy7R","['wirvsvirus', 'wirvsvirushack', 'wirvscorona']"
15,"PhD candidates of Kühne Logistics University take part in this weekend’s 48 hours #WirVsVirus hackathon of the federal government. They teamed up with others to develop an estimation model of the actual vs the confirmed number of infected people. @wirvsvirushack
#myKLU #Covid_19",['wirvsvirus']
16,"#WirVsVirus
https://t.co/NmjFqSiEI2

German gov #COVIDー19 hackathon this weekend!

Interested in teaming up on the neo.mjs app?

#neomjs #javascript #javascript30 #100daysofcode #webdev #webdevelopment #frontend #html #html5 #webworker #coronavirus #CoronaOutbreak #COVID19 https://t.co/giLve3t31a","['wirvsvirus', 'covid']"
17,"Alright, Ireland, let's do this. Germany is organising the #WirvsVirus hackathon, and we can do the same! Let's put our skills to use in these challenging times fighting the #COVID19--who's up for it?
@TOG_Dublin @SciGalleryDub @tcddublin @MaynoothUni @SciGalleryDub @scienceirel?",['wirvsvirus']
18,⏳Participate at #WirVsVirus and join the fight against #COVID19! The #Hackathon der Bundesregierung from 20 - 22 March! ➡️You have 48 hours to build a solution together that will help us in this crisis.  👩‍💻🧑‍💻👩‍🔬 🧑‍🔬💉💊🧬🧪 https://t.co/8dNGGmEVky @BMBF_Bund,"['wirvsvirus', 'covid', 'hackathon']"
19,I am in my 1st hackathon ever with 40k other 🇩🇪 people #WirvsVirus trying to figure out a magnitude of solutions related to covid19 - from homeschooling/ harvest/ health etc. Set up in 5! days by a few ❤️adults &amp; supported by 🇩🇪gvt. - 🇨🇦who can help organize something similar?,['wirvsvirus']
20,"We are teaming up for #wirvsvirus. If you are looking for a team to join, contact me via dm. #hackathon #covid19 #coronadeutschland https://t.co/BgrOD4F5hM","['wirvsvirus', 'hackathon', 'covid']"
21,#WirvsVirus covid19 hackathon in Germany https://t.co/oXiWVIlyGs (&gt;40.000 participants) livestream https://t.co/krNiP86tlX challenges https://t.co/MWXV7uuWkk Kudos to @codeforde &amp; @prototypefund,['wirvsvirus']
22,"I’m part of the #WirvsVirus Hackathon!

Whats about you?

https://t.co/W1zvLSZpJM",['wirvsvirus']
23,#stayathome and put your data science skills to good use by signing up for #WirvsVirus https://t.co/ihz2eBjVBX starting tomorrow! #COVID19 👩‍💻,"['stayathome', 'wirvsvirus']"
24,"Let's see what we can do! #government of #Germany initiates a hackathon #WirvsVirus
in order to identify creative solutions to cope with the #COVID19 crisis. #diverse
teams are encouraged. Check it out : https://t.co/ZY1n5QevjY","['government', 'germany', 'wirvsvirus']"
25,"Inspiring initiative by the German Government👇

▶️#WirVsVirus #Hackathon ◀️

#COVID19 #RRI #scicomm #openscience #cocreation","['wirvsvirus', 'hackathon', 'covid', 'rri', 'scicomm', 'openscience']"
26,Dear #startup community Participate in the #WirVsVirus #hackathon from the German Government. Help to develop &amp; test solutions for emerging challenges. You have until tomorrow (March 20th) to submit your participation @BMBF_Bund #Germany #coronavirus @StartUpEU @PZilgalvis #tech,"['startup', 'wirvsvirus', 'hackathon']"
27,"Feel free to also join the #Hackathon:
 
https://t.co/BpAV7PtbG1

#WirvsVirus","['hackathon', 'wirvsvirus']"
28,Hey lovely people! Tonight we'll be streaming some #gamedev again. This time for the #wirvsvirus hackathon trying to find innovative solutions for #covid19! Tune in to https://t.co/LQzlHoRH9F starting 21:00!,"['gamedev', 'wirvsvirus']"
29,"Germany organises the #WirVsVirus Hackathon 20-22 March for #coronavirus solutions.  We invite our partners to provide expertise on #digitalhealth, #egovernment, #eskills etc. 

Please respond on regional #hackathon, we will notify our partners to join. https://t.co/E88rslsgBr","['wirvsvirus', 'coronavirus']"
30,"Where there are problems... there are solutions! Join the #WirVsVirus hackathon THIS WEEKEND (20th-22nd March) to work together (virtually) with others on solutions to the challenges of #COVID19. 

Registration closes at 2pm tomorrow (CET). #WirvsVirus 

https://t.co/zM9hC7qDGK",['wirvsvirus']
31,"Germany is organizing a hackathon to fight the corona virus. Awesome idea, I’m in!!! #WirvsVirus
https://t.co/7Wr3BZhNES",['wirvsvirus']
32,"My fabulous colleagues @zielwasser @franzvw @Larsels at @giz_gmbh made it under the top-20 of Germany's #wirvsvirus hackathon! Congrats, much deserved 👏👏👏 #COVID19",['wirvsvirus']
33,"New in our blog: #Hacking Corona: An Overview of the Winners of Germany‘s #WirVsVirus #Hackathon – and the #Privacy Angle. #DataProtection, #GDPR and the race against #COVID19.","['hacking', 'wirvsvirus', 'hackathon', 'privacy']"
34,"#100DaysOfCode Day4 Happy to see an apparent stabilization of the growth rate per day in the data from italian #ProtezioneCivile about #COVID19 total cases in #Puglia.

source: https://t.co/jeO2bGqxoG https://t.co/T4ke4a3Rcy",['daysofcode']
35,"Day 70: Understanding Coronavirus (COVID-19) by data

#100DaysOfCode #wolframlang #wolflang #DataScience #Code #Programming #COVID19 #coronavirus

https://t.co/8PYn61jk2g https://t.co/rgVNi6DpjS","['daysofcode', 'wolframlang', 'wolflang', 'datascience', 'code']"
36,"Day 69: Learning more Data Science with video: ""COVID19 Epidemic Modeling: Compartmental Models""

#100DaysOfCode #wolframlang #wolflang #DataScience #Code #Programming @WolframResearch 

https://t.co/mNR3y4DwCg https://t.co/cwUgYu4kSU",['daysofcode']
37,"Day8/Round2 of #100DaysOfCode 
- Make an #Android app to track COVID-19 data published by Italian Civil Protection Authority on a daily basis. We are developing it with a friend, for now we do UI improvements. Language used is #Kotlin","['daysofcode', 'android']"
38,"#100daysofcode day-51-53, The best way to spend time while #Quarantine from #CoronaVirus is to develop our #coding skills. Learned how to access web data using #Python3. 
#certification #ai #MachineLearning #IoT #javascript #reactjs #webdesign #programming #CoronavirusPandemic https://t.co/djLLtV8wuq","['daysofcode', 'quarantine', 'coronavirus', 'coding']"
39,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Campania. Data from italian #ProtezioneCivile. 

source: https://t.co/jeO2bGqxoG https://t.co/0MM95soxtK","['daysofcode', 'covid', 'italy', 'campania']"
40,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Lombardia. Data from italian #ProtezioneCivile. 

source: https://t.co/jeO2bGqxoG https://t.co/V4QqdZlNPa","['daysofcode', 'covid', 'italy', 'lombardia']"
41,#100DaysOfCode Day4 Happy to have solved a small issue with labels (only for &gt;20 cases per day) with this plot showing data from italian #ProtezioneCivile about #COVID19 total cases in #Puglia. https://t.co/Ti7uoqmuaR,['daysofcode']
42,"#100DaysOfCode Day4. Summary of the data from italian #ProtezioneCivile about #COVID19 on total cases and growth rate per day in #Puglia #Abruzzo #Campania #Lazio #Basilicata #Calabria #Sicilia #Sardegna #Molise.
source: https://t.co/jeO2bGqxoG https://t.co/WEYe7hElhF","['daysofcode', 'protezionecivile', 'covid']"
43,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Liguria. Data from italian #ProtezioneCivile. 

source: https://t.co/jeO2bGqxoG https://t.co/69wq8Mr0zC","['daysofcode', 'covid', 'italy', 'liguria']"
44,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Abruzzo. Data from italian #ProtezioneCivile. 
@Linkiesta @sole24ore @repubblica 

source: https://t.co/jeO2bGqxoG https://t.co/S3HrspKSlJ","['daysofcode', 'covid', 'italy', 'abruzzo']"
45,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Calabria . Data from italian #ProtezioneCivile. 
@Linkiesta @sole24ore @repubblica 

source: https://t.co/jeO2bGqxoG https://t.co/pGTWj7tLDn","['daysofcode', 'covid', 'italy', 'calabria']"
46,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Molise. Data from italian #ProtezioneCivile. 
@Linkiesta @sole24ore @repubblica 

source: https://t.co/jeO2bGqxoG https://t.co/EhUcA4HhaT","['daysofcode', 'covid', 'italy', 'molise']"
47,"#100DaysOfCode Day4. #COVID19 Total cases and their growth rate per day in #Italy region #Basilicata . Data from italian #ProtezioneCivile. 
@Linkiesta @sole24ore @repubblica 

source: https://t.co/jeO2bGqxoG https://t.co/PCjzwMkmc2","['daysofcode', 'covid', 'italy', 'basilicata']"
48,"My Mimo app had some #sageadvice for us all this morning.
#100daysofcode #coronavirus #StayAtHome #quarantinelife #COVID19 #womenwhocode #momswhocode #codelife #programming https://t.co/4Sw79qqRz0","['sageadvice', 'daysofcode', 'coronavirus', 'stayathome', 'quarantinelife']"
49,"D8 #100DaysOfCode 
Processed COVID-19 data with Python pandas and matplotlib, following this tutorial https://t.co/tHf6xs8hAT",['daysofcode']
50,Just built a small Android app to track the #coronavirus stats using @quasarframework #100DaysOfCode #COVID19 https://t.co/2pWtH9pjVr,"['coronavirus', 'daysofcode', 'covid']"
51,"#100DaysOfCode #AndroidDev #Kotlin
I just Made a Covid-19 Tracker using API and Kotlin
Nb: I used an API provided by RapidApi and the data are correct
I will Lately change the design of the App https://t.co/XE0VH4fRxq","['daysofcode', 'androiddev', 'kotlin']"
52,"Day 79: Data Science live about Coronavirus

#100DaysOfCode #wolframlang #wolflang #DataScience #Code #Programming #Coronavirus

https://t.co/WCAtQKqe8D https://t.co/rfcAEd0tBS","['daysofcode', 'wolframlang', 'wolflang', 'datascience', 'code', 'programming']"
53,"#100DaysOfCode #AndroidDev   
#COVID19 
Working Android chatting application 💻📲
I call it ""OurLine"" 😅 ♥️ https://t.co/IVsR0nixTO","['daysofcode', 'androiddev', 'covid']"
54,"I've created another #COVID19 stats app but using @laravelphp, @LaravelLivewire, and @tailwindcss  #100DaysOfCode 

Live Demo: https://t.co/fcMzYhIvwX

Source Code: https://t.co/hX4geG2yqe","['covid', 'daysofcode']"
55,Day 13: Made some contributions to @aceg00ber open-source React Native Covid-19 tracker app.#100DaysOfCode,['daysofcode']
56,"50 rts and i'll do this with #python and make the source code #opensource😂
#100DaysOfCode #codinglife #DataScience #DataAnalytics #data #programmer #100DaysOfMLCode https://t.co/CubLjiLG7L","['python', 'opensource', 'daysofcode', 'codinglife', 'datascience']"
57,"Read more on my blog about day 10 of #100DaysOfCode
https://t.co/eVOutXFOFm

#developer #coder #flutterbrew
#google #fluttergoogle #flutter #app #appdeveloper #mobileappdevelopment #codenewbie https://t.co/dIXw5tFKed","['daysofcode', 'developer', 'coder', 'flutterbrew', 'google']"
58,"#100DaysOfCode Day6. #COVID19. #tidyverse and #ggplot2 helped me to extract a visualisation of the situation per day in #Italy region #Puglia. Data from italian #ProtezioneCivile. 

source: https://t.co/jeO2bGqxoG https://t.co/awfBmFwpbi","['daysofcode', 'covid', 'tidyverse', 'ggplot']"
59,"#Day82 #100DaysOfCode #reactjs #COVIDー19 #COVID19NIGERIA #DataScience 

- So, Just started out the web version of @aceg00ber's covid19 awareness app, you can go check his feeds for it.

- Going to make it as identical as possible and include any feature that would come handy.","['day', 'daysofcode', 'reactjs', 'covid', 'covidnigeria', 'datascience']"
60,"Day 35/100 of  #100DaysOfCode 

I've been off a little bit lately cause of the coronavirus situation but I'm back at it. 
Today I checked: 
TouchableOpacity, 
Created a small Todo app with crude options. 

#reactjs #reactnative #redux",['daysofcode']
61,"D38: some unforeseen problems . 
D39: continued to work on #Redux and Thunk sample application.

#100DaysOfCode","['redux', 'daysofcode']"
62,"#100DaysOfCode
Day 2: 
Developed an API for tracking coronavirus outbreak. Used flask. Hosted it on @pythonanywhere .  
 
-&gt; https://t.co/6RyDT93rVc",['daysofcode']
63,"🕛 Day 07 - Simple web app build with nodejs using Coronavirus API 👨‍💻

#100DaysOfCode #Devlife #webdevelopment #Javascript #NodeJS https://t.co/fnGLxwWW33","['daysofcode', 'devlife', 'webdevelopment']"
64,"Hey, I did it! Day 6 of #100DaysOfCode done. I've completed the first page of an app I want to make to get involved &amp; make a change with the #COVID19. I'm going to be trying to work on the JS through the week.",['daysofcode']
65,"Day 49/#301DaysOfCode 

Man, these days have been crazy. How's everyone holding up w/ #coronavirus out there?😷

Back to coding, today I got our seed data for YelpCamp working 😊💻

#CodeNewbie #MongoDB #javascript #FullStack","['daysofcode', 'coronavirus']"
66,"Day 94 of #100DaysOfCode - started work on a pro bono #web #app to help during the #coronavirus. Early days but got the development and production servers up, installed with #laravel and added some functionality.

#Laravel
#mysql
#codinglife 
#Developer
#codersMakingADifference","['daysofcode', 'web', 'app', 'coronavirus']"
67,"Multithreading COVID-19 Dashboard App
https://t.co/CwCzASJKqG

#neomjs #javascript #javascript30 #100daysofcode #webdev #webdevelopment #frontend #html #html5 #webworker #coronavirus #CoronaOutbreak #COVID19 #COVID_19","['neomjs', 'javascript', 'javascript', 'daysofcode']"
68,"R2/D79 #100DaysOfCode
Researched and started setting up Google Analytics to track views of my #ReactJS app
Looked into some #coronavirus -related projects to work on next. There are so many amazing, inspiring projects people are working on! 🤯
https://t.co/xaNW2UjasR","['daysofcode', 'reactjs']"
69,"Check out Tech Takes On COVID Hackathon 
#100DaysOfCode #COVID_19
https://t.co/szzUv7sL9j via @Devpost","['daysofcode', 'covid']"
70,"#100DaysOfCode: Today I received this great tutorial from @freeCodeCamp 's @colbyfayock on how to use Leaflet Gatsby and GeoJSON to create a #COVIDー19 tracker app. A great tutorial on how to make an impactful mapping application using real life data:
https://t.co/q9UGptCSKl",['daysofcode']
71,"Day 15 #100DaysOfCode

Up early and studying all day for the Data Structures and Algorithms exam.  

Also completed day 2 of the LeetCode 30 day challenge, and updated daily stats on my Coronavirus analytics jupyter notebook.

I'm beat...time to rest",['daysofcode']
72,#100DaysOfCode @thathackergirl Minor bug fix release of my #COVID19 @Android #app: https://t.co/6jymMWuSSQ - fixes: not showing correct tracking status after closing app and re-opening.,"['daysofcode', 'covid', 'app']"
73,"RT @geekdenz, RT @the_happy_dev -#100DaysOfCode @thathackergirl Minor bug fix release of my #COVID19 @Android #app: https://t.co/q6pJt5TZb8 - fixes:… https://t.co/rkdFrSySmV","['daysofcode', 'covid', 'app']"
74,"D3️⃣6️⃣ of #100DaysOfCode
Have not produced much productive output in the last 10 days, wavering around different concepts of #aws for my #COVID19 app and will continue when get time.
Moving on for fresh learning, stepping on front end tech - #javascript let me try https://t.co/TKZ7iVGJCx",['daysofcode']
75,"D3️⃣6️⃣ of #100DaysOfCode
⚠️Have not produced much productive output in the last 10 days. 
🆗was wavering around different concepts of #aws for my #COVID19 app and will continue when get time.
❤️Moving on for fresh learning, stepping on front end tech - #javascript let me try",['daysofcode']
76,"Machine learning topic along with a data science lecture. 

Learn people!

https://t.co/cdeL5Le8Pr

#coronavirus #100DaysOfCode","['coronavirus', 'daysofcode']"
77,"#100DaysOfCode I've been looking at the data from italian #ProtezioneCivile on #COVID19 with focus on #Puglia. They've got &gt;20K peps escaping #Lombardy (March 8, dashed red line) before the decree of March 11 (solid red line). https://t.co/qgby9BR7v5","['daysofcode', 'protezionecivile', 'covid', 'puglia']"
78,"Check out COVID-19 Global Church Hackathon 
#100DaysOfCode
https://t.co/xDlib6FYp5 via @Devpost",['daysofcode']
79,"Day 14/100 #100DaysOfCode #React #reactjs #CoronavirusOutbreak #Covid_19 

The Covid-19 tracker app

I will continue to add functionality and charting of data.

RT and stay healthy!

https://t.co/7EMnQlDEU6","['daysofcode', 'react', 'reactjs', 'coronavirusoutbreak', 'covid']"
80,"#programming #programmer #DevOps #webdevelopment #appdevelopment #100DaysOfCode #Java #Python #javascript #NodeJS
Pervasive digital surveillance of citizens deployed in COVID-19 fight, with rules that send genie back to bottle.
https://t.co/42XZ1yG7xX","['programming', 'programmer', 'devops', 'webdevelopment', 'appdevelopment', 'daysofcode', 'java', 'python', 'javascript', 'nodejs']"
81,"#100DaysOfCode Day5. #COVID19 Total cases and their growth rate per day in #Italy region #Puglia. Data from italian #ProtezioneCivile. Let's flatten this curve!

source: https://t.co/jeO2bGqxoG https://t.co/XiNiWYMOjg","['daysofcode', 'covid', 'italy', 'puglia']"
82,"#Day80 #100DaysOfCode #100DaysOfMLCode #kaggle #COVIDー19 #COVID19NIGERIA #DataScience 

- So I started out the covid-19 challenge, I am currently focusing the model in data from Nigeria as a way to help researches. 
- I've visualized the data.
- Next up, the time series model.","['day', 'daysofcode', 'daysofmlcode', 'kaggle', 'covid', 'covidnigeria', 'datascience']"
83,"Full Stack Python  Learning pandas by Exploring COVID-19 Data 🔥 
  
 👉 https://t.co/XFHJAIwv1v 
 
 #Python #100DaysOfCode","['python', 'daysofcode']"
84,"Day 356 of #100DaysOfCode , #301DaysOfCode and #CodeNewbie. Good day today.  Managed to deploy a @reactjs app to @github . A few hurdles to get over. Finished the app and will now try a similar project on @frontendmentor. Here is the app https://t.co/wLIK3Ofz3E","['daysofcode', 'daysofcode', 'codenewbie']"
85,"Day 356 of #100DaysOfCode , #301DaysOfCode and #CodeNewbie. Good day today.  Managed to deploy a @reactjs app to @github . A few hurdles to get over. Finished the app and will now try a similar project on @frontendmentor. Here is the app https://t.co/wLIK3Ofz3E","['daysofcode', 'daysofcode', 'codenewbie']"
86,"Day 39 of #100DaysOfCode round 2, I build issue tracker app https://t.co/9ycnhd0jkA as part of my @freeCodeCamp projects during the #Quarantine.

 #javascript #jquery #MongoDB #COVID19 #NodeJS #programmerslife",['daysofcode']
87,"All The Data Science Courses Made Free Due To COVID-19 https://t.co/NguSbeaLwu via @Analyticsindiam 

#100DaysOfCode #DataScience","['daysofcode', 'datascience']"
88,"I have made a simple sorting program with javaScript, trying to make larger data sorting later.
#100DaysOfCode @CodeNewbies  @freeCodeCamp @js_tut #StayHome #Covid_19 @Dsc_Auca @progate_auca https://t.co/r0vjBVWBKt",['daysofcode']
89,"#100DaysOfCode 
🗓️Day 1

❗️Confused about where to start! lots of tutorials

✅Refreshed some Unix commands
✅Codecademy: Introduction to Data Science
✅Codecademy: Linear Regression

💯 @Codecademy  thank you for the Scholarships for Students Affected by COVID-19",['daysofcode']
90,"1/2
Day 37 of #100DaysOfCode 
Finally hosted my Covid-19 Dashboard on @Netlify using #reactjs.Data are quite accurate and are fetched from various API and crossed verified by their developers! 
Feedbacks are highly appreciated. #StaySafe 
Here is the link: https://t.co/OAXokvcFXp","['daysofcode', 'reactjs']"
91,#COVID19 @thathackergirl #100DaysOfCode Does anyone want to alpha test my @Android #app for tracking your location to later find out where it has been spreading? Data is anonymous and can later be associated with Covid19 status and maybe more: https://t.co/OG1dz5kYGP,"['covid', 'daysofcode', 'app']"
92,"#Day87: Continuation from #Day86
#100DaysOfCode #reactjs #webdev
#COVID19 #COVID19Lagos 
The web app is going fine, I still don't know why my NavBar is being stubborn, I'd post a demo of what it looks like soon, the final result would look better.

#WorkFromHome #StaySafe ✌️😩","['day', 'day', 'daysofcode', 'reactjs', 'webdev', 'covid', 'covidlagos']"
93,"#programming #security #python #WomenWhoCode #100DaysOfCode #COVID2019 #coding #cyber #hacks #technology #linux #anonymous #tech #programmer #see #spam #gaming #gamer #Hunters #hunting #WomenWhoCode 

App👇👇
https://t.co/HO6l4EypJW

Video👇👇
https://t.co/pmIO1asWeN","['programming', 'security', 'python', 'womenwhocode', 'daysofcode', 'covid', 'coding', 'cyber', 'hacks', 'technology', 'linux']"
94,"How to Start App Development #Coderiver

#Apple #Android #appdevelopment #100DaysOfCode #Androidapps #Appdeveloper #coronavirus #technews #tech #techno #technology #Tech4All #techforgood #AppStore #TeamPrior #Entretenimiento #iOS #apps #Technicolor #techs

https://t.co/NeaTfZs3ZH","['coderiver', 'apple', 'android', 'appdevelopment', 'daysofcode', 'androidapps', 'appdeveloper']"
95,"Day 10 of #100DaysOfCode 
 Finished a game and submitted to store.
- Started some other game projects
- Trying to do a Collab app for teachers due to the covid19

#Covid19Cmr 
Still sharing the link to my previous app to inform Cameroonians 
Link : https://t.co/d0DLJXxJwc",['daysofcode']
96,"Day 21 of #100DaysOfCode worked almost the whole day. made a covid19 stats tracker with JHU GitHub data. automated updates every day!😀
https://t.co/6LzgDkFh4O

also, if you get an application error, run it after awhile.

here are a few pictures of the app.  #Python3 https://t.co/wrG6Xv0glC",['daysofcode']
97,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/UTdmw6wcv1 https://t.co/9P0SF7UOci,['futurism']
98,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/bzuU9VG6X4 https://t.co/HIivPxkQKn,['futurism']
99,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/jEUKfFuf3B https://t.co/ECShq5h4p9,['futurism']
100,Data Reveals the True Impact of the Coronavirus Outbreak #Futurism  https://t.co/zL1S2UIv6H,['futurism']
101,Data Reveals the True Impact of the Coronavirus Outbreak #Futurism via https://t.co/dk0caya0Oh https://t.co/QQDE2vVqEd,['futurism']
102,Data Reveals the True Impact of the Coronavirus Outbreak #Futurism via https://t.co/nFzgFEJQYF https://t.co/sv1Xm3pdom,['futurism']
103,A growing number of countries tap phone data to track COVID-19 #Futurism via https://t.co/51Q7uqVBnT https://t.co/2hQmKFhdKK,['futurism']
104,Doctors Are Pooling Data to Help Understand Covid-19 https://t.co/wOG01Sibtw #newmusic #futurism #global #vampiresexkittens #bass #musicvideo #tiktok #artificialIntelligence #ai #robotslaves #robotics #robot #neuralnetworks #digitalhumans #robotpet,"['newmusic', 'futurism', 'global']"
105,● NEWS ● #futurism #surveillance #policestate ☞ A Growing Number of Countries Tap Phone Data to Track #COVID19 https://t.co/2AJyMsXWEe,"['futurism', 'surveillance', 'policestate', 'covid']"
106,The Value and Ethics of Using Phone Data to Monitor Covid-19 #Futurism via https://t.co/tdkOuH3jdu https://t.co/0eKGpMzo4d,['futurism']
107,A growing number of countries tap phone data to track COVID-19 #Futurism  https://t.co/lOvipnfUz2,['futurism']
108,New app attempts to detect signs of COVID-19 using voice analysis #Futurism via https://t.co/V7FfW08zbr https://t.co/iWCogBseTs,['futurism']
109,New app attempts to detect signs of COVID-19 using voice analysis #Futurism  https://t.co/QA2XizVQqq,['futurism']
110,The Value and Ethics of Using Phone Data to Monitor Covid-19 #Futurism via https://t.co/uIe0HsYZj7 https://t.co/wrrzfHXR5E,['futurism']
111,The Coronavirus Relief Bill Promotes Surveillance for Health https://t.co/vrd15dxlkf #newmusic #futurism #global #vampiresexkittens #bass #musicvideo #tiktok #artificialIntelligence #ai #robotslaves #robotics #robot #neuralnetworks #digitalhumans #robotpet,"['newmusic', 'futurism', 'global']"
112,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/kp4jiOLxPU https://t.co/IvRRgFgIuY,['futurism']
113,New app attempts to detect signs of COVID-19 using voice analysis #Futurism via https://t.co/jEUKfFcEc3 https://t.co/GentYmrQcE,['futurism']
114,Google Reveals Location Data to Help the Coronavirus Response https://t.co/mRfWpIJWsY #newmusic #futurism #global #vampiresexkittens #bass #musicvideo #tiktok #artificialIntelligence #ai #robotslaves #robotics #robot #neuralnetworks #digitalhumans #robotpet,"['newmusic', 'futurism', 'global']"
115,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/ZGDPhfa1ir https://t.co/e1xtRgzGSW,['futurism']
116,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/JgeRoojHse https://t.co/Bv3ZG90Hd7,['futurism']
117,Google Reveals Location Data to Help the Coronavirus Response #Futurism  https://t.co/6u0RSWAuNf,['futurism']
118,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/bDTgBUIWtG https://t.co/31tqjEIolf,['futurism']
119,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/arGOrXVlVe https://t.co/DcRt4vH72E,['futurism']
120,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/uIe0HsYZj7 https://t.co/pwzlkDLy8P,['futurism']
121,Google Reveals Location Data to Help the Coronavirus Response #Futurism via https://t.co/to0v9T6tk3 https://t.co/CzR6RI5FB0,['futurism']
